n_departement,type_equipement_ou_lieu,fonction_1
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
56,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
58,Monument,Préservation
